step,epoch,loss,lr
1,1,1.34883058,0.0002
2,1,1.27641201,0.0002
3,1,1.11632872,0.0002
4,1,1.03985536,0.0002
5,1,0.94841069,0.0002
6,1,0.93162364,0.0002
7,1,0.84300685,0.0002
8,1,0.78943145,0.0002
9,1,0.73163831,0.0002
10,1,0.69096553,0.0002
11,1,0.59429091,0.0002
12,1,0.53869748,0.0002
13,1,0.51710802,0.0002
14,1,0.47916085,0.0002
15,1,0.46693474,0.0002
16,1,0.45038640,0.0002
17,1,0.45114157,0.0002
18,1,0.43673730,0.0002
19,1,0.40772349,0.0002
20,1,0.41000694,0.0002
21,1,0.42321265,0.0002
22,1,0.40792912,0.0002
23,1,0.39854202,0.0002
24,1,0.39244971,0.0002
25,1,0.40782040,0.0002
26,1,0.41201341,0.0002
27,1,0.40621695,0.0002
28,1,0.39510179,0.0002
29,1,0.40837830,0.0002
30,1,0.38785011,0.0002
31,1,0.37333584,0.0002
32,1,0.37460393,0.0002
33,1,0.35703546,0.0002
34,1,0.39979649,0.0002
35,1,0.34831351,0.0002
36,1,0.37355250,0.0002
37,1,0.37813503,0.0002
38,1,0.38488066,0.0002
39,1,0.35485518,0.0002
40,1,0.36930168,0.0002
41,1,0.33510336,0.0002
42,1,0.37665027,0.0002
43,1,0.37944588,0.0002
44,1,0.32251221,0.0002
45,1,0.36491311,0.0002
46,1,0.33012089,0.0002
47,1,0.32134375,0.0002
48,1,0.34110388,0.0002
49,1,0.36630434,0.0002
50,1,0.32001686,0.0002
51,1,0.30784985,0.0002
52,1,0.32645267,0.0002
53,1,0.34822235,0.0002
54,1,0.30181727,0.0002
55,1,0.32959890,0.0002
56,1,0.33038592,0.0002
57,1,0.32396942,0.0002
58,1,0.27992052,0.0002
59,1,0.33490646,0.0002
60,1,0.31993052,0.0002
61,1,0.33402175,0.0002
62,1,0.31308579,0.0002
63,1,0.33161253,0.0002
64,1,0.31721658,0.0002
65,1,0.31809065,0.0002
66,1,0.34393570,0.0002
67,1,0.29497269,0.0002
68,1,0.32096577,0.0002
69,1,0.29521167,0.0002
70,1,0.31365719,0.0002
71,1,0.32235909,0.0002
72,1,0.30271280,0.0002
73,1,0.27555406,0.0002
74,1,0.30618209,0.0002
75,1,0.30165365,0.0002
76,1,0.32208526,0.0002
77,1,0.30123180,0.0002
78,1,0.29863486,0.0002
79,1,0.27785546,0.0002
80,1,0.31593058,0.0002
81,1,0.27688858,0.0002
82,1,0.29082841,0.0002
83,1,0.26860315,0.0002
84,1,0.26890758,0.0002
85,1,0.29058921,0.0002
86,1,0.28190717,0.0002
87,1,0.30016157,0.0002
88,1,0.31614196,0.0002
89,1,0.34075484,0.0002
90,1,0.27409139,0.0002
91,1,0.31739885,0.0002
92,1,0.30278337,0.0002
93,1,0.29235828,0.0002
94,1,0.24820064,0.0002
95,1,0.30109072,0.0002
96,1,0.27023622,0.0002
97,1,0.29995498,0.0002
98,1,0.27160370,0.0002
99,1,0.28623065,0.0002
100,1,0.30037740,0.0002
101,1,0.27870998,0.0002
102,1,0.26391155,0.0002
103,1,0.27005732,0.0002
104,1,0.24791490,0.0002
105,1,0.28691280,0.0002
106,1,0.31093258,0.0002
107,1,0.28193697,0.0002
108,1,0.26816222,0.0002
109,1,0.27993688,0.0002
110,1,0.25387099,0.0002
111,1,0.26540756,0.0002
112,1,0.26828462,0.0002
113,1,0.28252444,0.0002
114,1,0.32488078,0.0002
115,1,0.27330402,0.0002
116,1,0.29153344,0.0002
