step,epoch,loss,lr
1,1,0.77202791,3e-08
2,1,0.72450358,6e-08
3,1,0.76793307,6e-08
4,1,0.77789700,9e-08
5,1,0.73160225,9e-08
6,1,0.80366307,1.2e-07
7,1,0.74514532,1.2e-07
8,1,0.81764871,1.5e-07
9,1,0.74843431,1.5e-07
10,1,0.72329789,1.8e-07
11,1,0.75262678,1.8e-07
12,1,0.80690461,2.1e-07
13,1,0.74675065,2.1e-07
14,1,0.80118269,2.4e-07
15,1,0.82936037,2.4e-07
16,1,0.75557709,2.7e-07
17,1,0.80890232,2.7e-07
18,1,0.75794983,3e-07
19,1,0.74606866,3e-07
20,1,0.73162758,3.3e-07
21,1,0.73785585,3.3e-07
22,1,0.75794899,3.6e-07
23,1,0.72617233,3.6e-07
24,1,0.73230374,3.9e-07
25,1,0.74241555,3.9e-07
26,1,0.78933460,4.2e-07
27,1,0.75352269,4.2e-07
28,1,0.77113825,4.5e-07
29,1,0.70769566,4.5e-07
30,1,0.75851822,4.8e-07
31,1,0.75636226,4.8e-07
32,1,0.76710975,5.1e-07
33,1,0.79245973,5.1e-07
34,1,0.70661664,5.4e-07
35,1,0.76130605,5.4e-07
36,1,0.70845819,5.7e-07
37,1,0.76907218,5.7e-07
38,1,0.74644089,6e-07
39,1,0.69828445,6e-07
40,1,0.74239808,6.3e-07
41,1,0.73589069,6.3e-07
42,1,0.72596920,6.6e-07
43,1,0.73415387,6.6e-07
44,1,0.76522040,6.9e-07
45,1,0.73990464,6.9e-07
46,1,0.71203309,7.2e-07
47,1,0.77326626,7.2e-07
48,1,0.72519284,7.5e-07
49,1,0.74754292,7.5e-07
50,1,0.70895988,7.8e-07
51,1,0.74454629,7.8e-07
52,1,0.71687996,8.1e-07
53,1,0.72419488,8.1e-07
54,1,0.72751725,8.4e-07
55,1,0.75208974,8.4e-07
56,1,0.68703926,8.7e-07
57,1,0.72703391,8.7e-07
58,1,0.72495228,9e-07
59,1,0.78667980,9e-07
60,1,0.69966567,9.3e-07
61,1,0.74273896,9.3e-07
62,1,0.72261411,9.6e-07
63,1,0.70612854,9.6e-07
64,1,0.67291057,9.9e-07
65,1,0.68859321,9.9e-07
66,1,0.70786840,1.02e-06
67,1,0.70812935,1.02e-06
68,1,0.67067045,1.05e-06
69,1,0.71534395,1.05e-06
70,1,0.68187535,1.08e-06
71,1,0.70879537,1.08e-06
72,1,0.61103153,1.11e-06
73,1,0.72391844,1.11e-06
74,1,0.66975808,1.14e-06
75,1,0.66522151,1.14e-06
76,1,0.68095195,1.17e-06
77,1,0.66457099,1.17e-06
78,1,0.68723458,1.2e-06
79,1,0.67478019,1.2e-06
80,1,0.65811694,1.23e-06
81,1,0.67763627,1.23e-06
82,1,0.70652777,1.26e-06
83,1,0.70258015,1.26e-06
84,1,0.63899201,1.29e-06
85,1,0.69418800,1.29e-06
86,1,0.62984467,1.32e-06
87,1,0.67286509,1.32e-06
88,1,0.69633371,1.35e-06
89,1,0.69244260,1.35e-06
90,1,0.67391908,1.38e-06
91,1,0.68516850,1.38e-06
92,1,0.63582391,1.41e-06
93,1,0.58172059,1.41e-06
94,1,0.64770538,1.44e-06
95,1,0.65497029,1.44e-06
96,1,0.63881695,1.47e-06
97,1,0.66107297,1.47e-06
98,1,0.64594656,1.5e-06
99,1,0.68869656,1.5e-06
100,1,0.63420844,1.53e-06
101,1,0.66506237,1.53e-06
102,1,0.62861043,1.56e-06
103,1,0.63286334,1.56e-06
104,1,0.61878520,1.59e-06
105,1,0.64926922,1.59e-06
106,1,0.60474217,1.62e-06
107,1,0.66975242,1.62e-06
108,1,0.70332575,1.65e-06
109,1,0.64348835,1.65e-06
110,1,0.70415628,1.68e-06
111,1,0.64183438,1.68e-06
112,1,0.68987179,1.71e-06
113,1,0.63271403,1.71e-06
114,1,0.64394408,1.74e-06
115,1,0.64011860,1.74e-06
116,1,0.61595029,1.77e-06
117,1,0.67317820,1.77e-06
118,1,0.66905266,1.8e-06
119,1,0.58913410,1.8e-06
120,1,0.61918318,1.83e-06
121,1,0.66288620,1.83e-06
122,1,0.64467418,1.86e-06
123,1,0.63522911,1.86e-06
124,1,0.61359316,1.89e-06
125,1,0.62404233,1.89e-06
126,1,0.66004765,1.92e-06
127,1,0.58608419,1.92e-06
128,1,0.60129613,1.95e-06
129,1,0.63671672,1.95e-06
130,1,0.64195091,1.98e-06
131,1,0.67750549,1.98e-06
132,1,0.60586780,2.01e-06
133,1,0.60167825,2.01e-06
134,1,0.66575748,2.04e-06
135,1,0.61323929,2.04e-06
136,1,0.57165080,2.07e-06
137,1,0.60287982,2.07e-06
138,1,0.62972081,2.1e-06
