step,epoch,loss,lr
1,1,1.16202319,3e-08
2,1,1.15957284,6e-08
3,1,1.16426909,6e-08
4,1,1.16361892,9e-08
5,1,1.14617014,9e-08
6,1,1.16970193,1.2e-07
7,1,1.16447842,1.2e-07
8,1,1.17153430,1.5e-07
9,1,1.15822768,1.5e-07
10,1,1.16015971,1.8e-07
11,1,1.14426672,1.8e-07
12,1,1.16837394,2.1e-07
13,1,1.16056573,2.1e-07
14,1,1.15098381,2.4e-07
15,1,1.15019560,2.4e-07
16,1,1.16490066,2.7e-07
17,1,1.16700339,2.7e-07
18,1,1.15302241,3e-07
19,1,1.15072119,3e-07
20,1,1.15380692,3.3e-07
21,1,1.14630234,3.3e-07
22,1,1.14905989,3.6e-07
23,1,1.15088141,3.6e-07
24,1,1.16039002,3.9e-07
25,1,1.15224993,3.9e-07
26,1,1.16068709,4.2e-07
27,1,1.14908409,4.2e-07
28,1,1.14641464,4.5e-07
29,1,1.14001751,4.5e-07
30,1,1.14630425,4.8e-07
31,1,1.13727570,4.8e-07
32,1,1.13876581,5.1e-07
33,1,1.14650309,5.1e-07
34,1,1.12935996,5.4e-07
35,1,1.14245737,5.4e-07
36,1,1.14093339,5.7e-07
37,1,1.14544976,5.7e-07
38,1,1.12863398,6e-07
39,1,1.13644314,6e-07
40,1,1.13856280,6.3e-07
41,1,1.13677084,6.3e-07
42,1,1.12972367,6.6e-07
43,1,1.12529480,6.6e-07
44,1,1.13538241,6.9e-07
45,1,1.13057649,6.9e-07
46,1,1.12254798,7.2e-07
47,1,1.12712312,7.2e-07
48,1,1.12008989,7.5e-07
49,1,1.12518644,7.5e-07
50,1,1.12373853,7.8e-07
51,1,1.11312783,7.8e-07
52,1,1.11858559,8.1e-07
53,1,1.11324966,8.1e-07
54,1,1.11698794,8.4e-07
55,1,1.11332011,8.4e-07
56,1,1.10730255,8.7e-07
57,1,1.10988533,8.7e-07
58,1,1.11531794,9e-07
59,1,1.11161768,9e-07
60,1,1.10652435,9.3e-07
61,1,1.10806894,9.3e-07
62,1,1.10510850,9.6e-07
63,1,1.10342348,9.6e-07
64,1,1.10078764,9.9e-07
65,1,1.09573245,9.9e-07
66,1,1.09738982,1.02e-06
67,1,1.09712124,1.02e-06
68,1,1.10019934,1.05e-06
69,1,1.10107672,1.05e-06
70,1,1.09018147,1.08e-06
71,1,1.08325803,1.08e-06
72,1,1.07980788,1.11e-06
73,1,1.08943915,1.11e-06
74,1,1.07962394,1.14e-06
75,1,1.08020651,1.14e-06
76,1,1.08400297,1.17e-06
77,1,1.08224738,1.17e-06
78,1,1.07807720,1.2e-06
79,1,1.07056248,1.2e-06
80,1,1.08633661,1.23e-06
81,1,1.06701541,1.23e-06
82,1,1.07627571,1.26e-06
83,1,1.07301080,1.26e-06
84,1,1.06594706,1.29e-06
85,1,1.07392657,1.29e-06
86,1,1.06176138,1.32e-06
87,1,1.06016159,1.32e-06
88,1,1.05873501,1.35e-06
89,1,1.05769360,1.35e-06
90,1,1.05578196,1.38e-06
91,1,1.05321813,1.38e-06
92,1,1.05601060,1.41e-06
93,1,1.04724944,1.41e-06
94,1,1.05135202,1.44e-06
95,1,1.04351532,1.44e-06
96,1,1.04696536,1.47e-06
97,1,1.04379857,1.47e-06
98,1,1.04427063,1.5e-06
99,1,1.04462862,1.5e-06
100,1,1.04330790,1.53e-06
101,1,1.03015876,1.53e-06
102,1,1.03694737,1.56e-06
103,1,1.02960443,1.56e-06
104,1,1.03544950,1.59e-06
105,1,1.02675033,1.59e-06
106,1,1.03038192,1.62e-06
107,1,1.02314532,1.62e-06
108,1,1.02423334,1.65e-06
109,1,1.02600503,1.65e-06
110,1,1.02396154,1.68e-06
111,1,1.02003932,1.68e-06
112,1,1.01716125,1.71e-06
113,1,1.01867926,1.71e-06
114,1,1.01609480,1.74e-06
115,1,1.01444077,1.74e-06
116,1,1.00961483,1.77e-06
117,1,1.00885940,1.77e-06
118,1,1.01008391,1.8e-06
119,1,0.99773788,1.8e-06
120,1,0.99872887,1.83e-06
121,1,1.00198853,1.83e-06
122,1,1.00138533,1.86e-06
123,1,0.99789602,1.86e-06
124,1,0.99587590,1.89e-06
125,1,0.99500930,1.89e-06
126,1,0.99596107,1.92e-06
127,1,0.99393857,1.92e-06
128,1,0.98465717,1.95e-06
129,1,0.98162484,1.95e-06
130,1,0.98915589,1.98e-06
131,1,0.98533231,1.98e-06
132,1,0.98076332,2.01e-06
133,1,0.97667718,2.01e-06
134,1,0.97425842,2.04e-06
135,1,0.97875512,2.04e-06
136,1,0.97049439,2.07e-06
137,1,0.97132218,2.07e-06
138,1,0.97210312,2.1e-06
139,1,0.96702790,2.1e-06
140,1,0.96613091,2.13e-06
141,1,0.95763272,2.13e-06
142,1,0.96696270,2.16e-06
143,1,0.95840728,2.16e-06
144,1,0.95487934,2.19e-06
145,1,0.95436370,2.19e-06
146,1,0.95228004,2.22e-06
147,1,0.94899732,2.22e-06
148,1,0.94894356,2.25e-06
149,1,0.95005512,2.25e-06
150,1,0.95005226,2.28e-06
151,1,0.93969303,2.28e-06
152,1,0.94239819,2.31e-06
153,1,0.93934017,2.31e-06
154,1,0.93971360,2.34e-06
155,1,0.93821079,2.34e-06
156,1,0.93794525,2.37e-06
157,1,0.93150264,2.37e-06
158,1,0.93437749,2.4e-06
159,1,0.93090397,2.4e-06
160,1,0.92200929,2.43e-06
161,1,0.92258626,2.43e-06
162,1,0.92660695,2.46e-06
163,1,0.92216724,2.46e-06
164,1,0.92300045,2.49e-06
165,1,0.91209537,2.49e-06
166,1,0.90974301,2.52e-06
167,1,0.90950900,2.52e-06
168,1,0.91416061,2.55e-06
169,1,0.91102135,2.55e-06
170,1,0.89948612,2.58e-06
