step,epoch,loss,lr
1,1,1.08005381,4e-08
2,1,1.16953921,8e-08
3,1,1.16090882,8e-08
4,1,1.09054434,1.2e-07
5,1,1.14782894,1.2e-07
6,1,1.15028656,1.6e-07
7,1,1.14352429,1.6e-07
8,1,1.11094320,2e-07
9,1,1.13793278,2e-07
10,1,1.12499046,2.4e-07
11,1,1.17825258,2.4e-07
12,1,1.14294946,2.8e-07
13,1,1.12534428,2.8e-07
14,1,1.10478222,3.2e-07
15,1,1.09713387,3.2e-07
16,1,1.17154109,3.6e-07
17,1,1.10764849,3.6e-07
18,1,1.14094031,4e-07
19,1,1.08957779,4e-07
20,1,1.13834214,4.4e-07
21,1,1.08995330,4.4e-07
22,1,1.14376986,4.8e-07
23,1,1.14534724,4.8e-07
24,1,1.08056772,5.2e-07
25,1,1.13474131,5.2e-07
26,1,1.15255141,5.6e-07
27,1,1.13776743,5.6e-07
28,1,1.12288535,6e-07
29,1,1.09641707,6e-07
30,1,1.14906585,6.4e-07
31,1,1.06763816,6.4e-07
32,1,1.07213557,6.8e-07
33,1,1.13580287,6.8e-07
34,1,1.10888350,7.2e-07
35,1,1.08044326,7.2e-07
36,1,1.10995018,7.6e-07
37,1,1.12987387,7.6e-07
38,1,1.05822694,8e-07
39,1,1.08212793,8e-07
40,1,1.13286459,8.4e-07
41,1,1.07974327,8.4e-07
42,1,1.11487031,8.8e-07
43,1,1.11146772,8.8e-07
44,1,1.10101402,9.2e-07
45,1,1.11205554,9.2e-07
46,1,1.11919570,9.6e-07
47,1,1.08764517,9.6e-07
48,1,1.06312668,1e-06
49,1,1.03581381,1e-06
50,1,1.08073568,1.04e-06
51,1,1.11413550,1.04e-06
52,1,1.10753107,1.08e-06
53,1,1.10317314,1.08e-06
54,1,1.09157836,1.12e-06
55,1,1.09393942,1.12e-06
56,1,1.07600868,1.16e-06
57,1,1.06974852,1.16e-06
58,1,1.08639145,1.2e-06
59,1,1.10345805,1.2e-06
60,1,1.05552208,1.24e-06
61,1,1.06739700,1.24e-06
62,1,1.06570601,1.28e-06
63,1,1.03188062,1.28e-06
64,1,1.03752482,1.32e-06
65,1,0.99538082,1.32e-06
66,1,0.99544907,1.36e-06
67,1,1.03798842,1.36e-06
68,1,1.06124580,1.4e-06
69,1,1.02141464,1.4e-06
70,1,1.01138854,1.44e-06
71,1,1.01962578,1.44e-06
72,1,0.99735206,1.48e-06
73,1,1.06032419,1.48e-06
74,1,0.98115182,1.52e-06
75,1,1.03115821,1.52e-06
76,1,1.07663429,1.56e-06
77,1,1.03596199,1.56e-06
78,1,1.00749314,1.6e-06
79,1,0.98906368,1.6e-06
80,1,1.00765038,1.64e-06
81,1,0.96791905,1.64e-06
82,1,0.99802876,1.68e-06
83,1,1.03140211,1.68e-06
84,1,0.98364758,1.72e-06
85,1,0.97722137,1.72e-06
86,1,0.96614617,1.76e-06
87,1,0.96247196,1.76e-06
88,1,0.98769486,1.8e-06
89,1,1.00501311,1.8e-06
90,1,0.97392547,1.84e-06
91,1,0.97945869,1.84e-06
92,1,0.94648170,1.88e-06
93,1,0.94289953,1.88e-06
94,1,0.95164192,1.92e-06
95,1,0.97126049,1.92e-06
96,1,0.94425309,1.96e-06
97,1,0.96837699,1.96e-06
98,1,0.93811077,2e-06
