step,epoch,loss,lr
10001,21,0.19581825,7.5e-08
10002,21,0.19669621,1.5e-07
10003,21,0.20108877,1.5e-07
10004,21,0.19544557,2.25e-07
10005,21,0.21645470,2.25e-07
10006,21,0.21085270,3e-07
10007,21,0.20446166,3e-07
10008,21,0.21378565,3.75e-07
10009,21,0.19459803,3.75e-07
10010,21,0.18889645,4.5e-07
10011,21,0.20870785,4.5e-07
10012,21,0.18437530,5.25e-07
10013,21,0.19942208,5.25e-07
10014,21,0.19135475,6e-07
10015,21,0.22068699,6e-07
10016,21,0.19155569,6.75e-07
10017,21,0.18552525,6.75e-07
10018,21,0.21546888,7.5e-07
10019,21,0.21504532,7.5e-07
10020,21,0.21193410,8.25e-07
10021,21,0.18208759,8.25e-07
10022,21,0.20384593,9e-07
10023,21,0.20274924,9e-07
10024,21,0.20082714,9.75e-07
10025,21,0.17913251,9.75e-07
10026,21,0.20887236,1.05e-06
10027,21,0.19052103,1.05e-06
10028,21,0.19088094,1.125e-06
10029,21,0.19159286,1.125e-06
10030,21,0.19493914,1.2e-06
10031,21,0.19293103,1.2e-06
10032,21,0.19270682,1.275e-06
10033,21,0.20839222,1.275e-06
10034,21,0.18681540,1.35e-06
10035,21,0.19726835,1.35e-06
10036,21,0.19815844,1.425e-06
10037,21,0.19443178,1.425e-06
10038,21,0.20980719,1.5e-06
10039,21,0.19525701,1.5e-06
10040,21,0.20452172,1.575e-06
10041,21,0.19689953,1.575e-06
10042,21,0.21286409,1.65e-06
10043,21,0.20941420,1.65e-06
10044,21,0.19994572,1.725e-06
10045,21,0.20412099,1.725e-06
10046,21,0.18494347,1.8e-06
10047,21,0.19132908,1.8e-06
10048,21,0.19540359,1.875e-06
10049,21,0.19841178,1.875e-06
10050,21,0.20413060,1.95e-06
10051,21,0.19872156,1.95e-06
10052,21,0.22184232,2.025e-06
10053,21,0.20224881,2.025e-06
10054,21,0.19307266,2.1e-06
10055,21,0.19564840,2.1e-06
10056,21,0.19383441,2.175e-06
10057,21,0.20075141,2.175e-06
10058,21,0.20334220,2.25e-06
10059,21,0.21112981,2.25e-06
10060,21,0.19827791,2.325e-06
10061,21,0.22359779,2.325e-06
10062,21,0.19687654,2.4e-06
10063,21,0.17321129,2.4e-06
10064,21,0.19591530,2.475e-06
10065,21,0.21209519,2.475e-06
10066,21,0.20899823,2.55e-06
10067,21,0.19756348,2.55e-06
10068,21,0.20066492,2.625e-06
10069,21,0.19178361,2.625e-06
10070,21,0.19041245,2.7e-06
10071,21,0.18673317,2.7e-06
10072,21,0.20954686,2.775e-06
10073,21,0.18852617,2.775e-06
10074,21,0.20522107,2.85e-06
10075,21,0.20096943,2.85e-06
10076,21,0.20168205,2.925e-06
10077,21,0.22322062,2.925e-06
10078,21,0.20011038,3e-06
10079,21,0.18113975,3e-06
10080,21,0.21804549,3.075e-06
10081,21,0.19230603,3.075e-06
10082,21,0.22730684,3.15e-06
10083,21,0.19976766,3.15e-06
10084,21,0.18049577,3.225e-06
10085,21,0.18342955,3.225e-06
10086,21,0.21341529,3.3e-06
10087,21,0.19135328,3.3e-06
10088,21,0.18456990,3.375e-06
10089,21,0.20820066,3.375e-06
10090,21,0.20572127,3.45e-06
10091,21,0.21493192,3.45e-06
10092,21,0.20584872,3.525e-06
10093,21,0.19290808,3.525e-06
10094,21,0.20567107,3.6e-06
10095,21,0.18538189,3.6e-06
10096,21,0.20225748,3.675e-06
