step,epoch,loss,lr
1,1,2.35647678,4e-08
2,1,2.43589616,8e-08
3,1,2.33432150,8e-08
4,1,2.39187956,1.2e-07
5,1,2.42423034,1.2e-07
6,1,2.37935376,1.6e-07
7,1,2.39273691,1.6e-07
8,1,2.38086915,2e-07
9,1,2.32461596,2e-07
10,1,2.42693567,2.4e-07
11,1,2.43560004,2.4e-07
12,1,2.39062262,2.8e-07
13,1,2.34220004,2.8e-07
14,1,2.43438888,3.2e-07
15,1,2.41037107,3.2e-07
16,1,2.34571815,3.6e-07
17,1,2.39546800,3.6e-07
18,1,2.40954876,4e-07
19,1,2.33524585,4e-07
20,1,2.34877110,4.4e-07
21,1,2.43014932,4.4e-07
22,1,2.37980986,4.8e-07
23,1,2.39347386,4.8e-07
24,1,2.36767244,5.2e-07
25,1,2.41886616,5.2e-07
26,1,2.36501360,5.6e-07
27,1,2.38721943,5.6e-07
28,1,2.38861179,6e-07
29,1,2.38879824,6e-07
30,1,2.38484430,6.4e-07
31,1,2.29610586,6.4e-07
32,1,2.36932182,6.8e-07
33,1,2.36235714,6.8e-07
34,1,2.31877351,7.2e-07
35,1,2.40456033,7.2e-07
36,1,2.40515184,7.6e-07
37,1,2.29784274,7.6e-07
38,1,2.35544848,8e-07
39,1,2.31532359,8e-07
40,1,2.38228202,8.4e-07
41,1,2.33625674,8.4e-07
42,1,2.38605380,8.8e-07
43,1,2.34490728,8.8e-07
44,1,2.33651137,9.2e-07
45,1,2.34833145,9.2e-07
46,1,2.34779835,9.6e-07
47,1,2.32628489,9.6e-07
48,1,2.34085464,1e-06
49,1,2.26813984,1e-06
50,1,2.27862978,1.04e-06
51,1,2.35281825,1.04e-06
52,1,2.28619385,1.08e-06
53,1,2.28642130,1.08e-06
54,1,2.34755039,1.12e-06
55,1,2.28417540,1.12e-06
56,1,2.29349637,1.16e-06
57,1,2.29067159,1.16e-06
58,1,2.28374076,1.2e-06
59,1,2.34578776,1.2e-06
60,1,2.32472086,1.24e-06
61,1,2.29951143,1.24e-06
62,1,2.28472376,1.28e-06
63,1,2.29578304,1.28e-06
64,1,2.29138803,1.32e-06
65,1,2.32416558,1.32e-06
66,1,2.24129629,1.36e-06
67,1,2.27077413,1.36e-06
68,1,2.25998211,1.4e-06
69,1,2.22112489,1.4e-06
70,1,2.29014421,1.44e-06
71,1,2.21622944,1.44e-06
72,1,2.22931910,1.48e-06
73,1,2.25106859,1.48e-06
74,1,2.24282479,1.52e-06
75,1,2.21622276,1.52e-06
76,1,2.25310922,1.56e-06
77,1,2.20829320,1.56e-06
78,1,2.24809313,1.6e-06
79,1,2.20192337,1.6e-06
80,1,2.23421597,1.64e-06
81,1,2.24614573,1.64e-06
82,1,2.26597834,1.68e-06
83,1,2.19270349,1.68e-06
84,1,2.21751547,1.72e-06
85,1,2.20109463,1.72e-06
86,1,2.21360373,1.76e-06
87,1,2.13621712,1.76e-06
88,1,2.14496040,1.8e-06
89,1,2.15231824,1.8e-06
90,1,2.14854765,1.84e-06
91,1,2.16057825,1.84e-06
92,1,2.13510418,1.88e-06
93,1,2.20725536,1.88e-06
94,1,2.10063982,1.92e-06
95,1,2.15887785,1.92e-06
96,1,2.15757012,1.96e-06
97,1,2.18073320,1.96e-06
98,1,2.13945484,2e-06
99,1,2.09921741,2e-06
100,1,2.15744829,2.04e-06
101,1,2.08387804,2.04e-06
102,1,2.14027071,2.08e-06
103,1,2.07991409,2.08e-06
104,1,2.15004206,2.12e-06
105,1,2.12216330,2.12e-06
106,1,2.13264179,2.16e-06
107,1,2.12034464,2.16e-06
108,1,2.10050774,2.2e-06
109,1,2.06313252,2.2e-06
110,1,2.08387327,2.24e-06
111,1,2.12289572,2.24e-06
112,1,2.09291720,2.28e-06
113,1,2.10328627,2.28e-06
114,1,2.10168123,2.32e-06
115,1,2.08281469,2.32e-06
116,1,2.09098625,2.36e-06
117,1,2.09623384,2.36e-06
118,1,2.08575225,2.4e-06
119,1,2.08716536,2.4e-06
120,1,2.04718518,2.44e-06
121,1,2.07073736,2.44e-06
122,1,2.03248906,2.48e-06
123,1,2.04332018,2.48e-06
124,1,2.04297829,2.52e-06
125,1,2.05603552,2.52e-06
126,1,2.08573985,2.56e-06
127,1,2.02388501,2.56e-06
128,1,2.03594041,2.6e-06
129,1,2.07208920,2.6e-06
130,1,2.03022766,2.64e-06
131,1,2.02167559,2.64e-06
132,1,2.01650357,2.68e-06
133,1,2.03640318,2.68e-06
134,1,2.03193879,2.72e-06
135,1,2.05282283,2.72e-06
136,1,2.03501940,2.76e-06
137,1,1.99733210,2.76e-06
138,1,2.02987504,2.8e-06
139,1,2.04922700,2.8e-06
140,1,2.01297808,2.84e-06
141,1,2.01117992,2.84e-06
142,1,1.99986339,2.88e-06
143,1,1.98434401,2.88e-06
144,1,2.00473809,2.92e-06
145,1,1.97583842,2.92e-06
146,1,1.96133518,2.96e-06
147,1,2.02899265,2.96e-06
148,1,1.97280586,3e-06
149,1,2.01308227,3e-06
150,1,1.97574282,3.04e-06
151,1,2.00932455,3.04e-06
152,1,1.97006106,3.08e-06
153,1,1.96644545,3.08e-06
154,1,1.98587644,3.12e-06
155,1,1.99089408,3.12e-06
156,1,2.00002909,3.16e-06
157,1,1.95601058,3.16e-06
158,1,1.98670292,3.2e-06
159,1,1.93559337,3.2e-06
160,1,1.98548651,3.24e-06
161,1,1.94218004,3.24e-06
162,1,1.95634103,3.28e-06
163,1,1.94392025,3.28e-06
164,1,1.94596124,3.32e-06
165,1,1.94343996,3.32e-06
166,1,1.95552170,3.36e-06
167,1,1.94383597,3.36e-06
168,1,1.94758296,3.4e-06
169,1,1.94591832,3.4e-06
170,1,1.90984368,3.44e-06
171,1,1.90394437,3.44e-06
172,1,1.95966721,3.48e-06
173,1,1.92857909,3.48e-06
174,1,1.92854404,3.52e-06
175,1,1.92609429,3.52e-06
176,1,1.93409991,3.56e-06
177,1,1.89271188,3.56e-06
178,1,1.92531586,3.6e-06
179,1,1.89126074,3.6e-06
180,1,1.89749789,3.64e-06
181,1,1.89900839,3.64e-06
182,1,1.86882532,3.68e-06
183,1,1.88539600,3.68e-06
184,1,1.91835356,3.72e-06
185,1,1.89953589,3.72e-06
186,1,1.87796843,3.76e-06
187,1,1.90494347,3.76e-06
188,1,1.89728117,3.8e-06
189,1,1.88589013,3.8e-06
190,1,1.89322042,3.84e-06
191,1,1.91106880,3.84e-06
192,1,1.88410163,3.88e-06
193,1,1.86939824,3.88e-06
194,1,1.90895033,3.92e-06
195,1,1.85844922,3.92e-06
196,1,1.86845493,3.96e-06
197,1,1.86023104,3.96e-06
198,1,1.83298838,4e-06
199,1,1.87675309,4e-06
200,1,1.86506939,4.04e-06
201,1,1.86932015,4.04e-06
202,1,1.89109206,4.08e-06
203,1,1.89072669,4.08e-06
204,1,1.85671246,4.12e-06
205,1,1.87327671,4.12e-06
