step,epoch,loss,lr
1,1,3.48958826,4e-08
2,1,3.61362672,8e-08
3,1,3.45221066,8e-08
4,1,3.53537560,1.2e-07
5,1,3.58269167,1.2e-07
6,1,3.52097940,1.6e-07
7,1,3.54321766,1.6e-07
8,1,3.52348995,2e-07
9,1,3.44216537,2e-07
10,1,3.59064317,2.4e-07
11,1,3.59444094,2.4e-07
12,1,3.54307365,2.8e-07
13,1,3.46943617,2.8e-07
14,1,3.60618520,3.2e-07
15,1,3.56483555,3.2e-07
16,1,3.46725154,3.6e-07
17,1,3.54867196,3.6e-07
18,1,3.57813406,4e-07
19,1,3.45250010,4e-07
20,1,3.47710609,4.4e-07
21,1,3.60437012,4.4e-07
22,1,3.51163626,4.8e-07
23,1,3.54755616,4.8e-07
24,1,3.50046396,5.2e-07
25,1,3.57705116,5.2e-07
26,1,3.49210644,5.6e-07
27,1,3.51172924,5.6e-07
28,1,3.52562332,6e-07
29,1,3.53263140,6e-07
30,1,3.53376412,6.4e-07
31,1,3.39301896,6.4e-07
32,1,3.50262713,6.8e-07
33,1,3.48821449,6.8e-07
34,1,3.42348671,7.2e-07
35,1,3.55799294,7.2e-07
36,1,3.55958533,7.6e-07
37,1,3.38476610,7.6e-07
38,1,3.48188901,8e-07
39,1,3.43045568,8e-07
40,1,3.52418065,8.4e-07
41,1,3.44443464,8.4e-07
42,1,3.53486347,8.8e-07
43,1,3.46209812,8.8e-07
44,1,3.45009565,9.2e-07
45,1,3.47303557,9.2e-07
46,1,3.47078633,9.6e-07
47,1,3.43658638,9.6e-07
48,1,3.46422863,1e-06
49,1,3.34838390,1e-06
50,1,3.36881542,1.04e-06
51,1,3.47918129,1.04e-06
52,1,3.37997961,1.08e-06
53,1,3.37450242,1.08e-06
54,1,3.47392488,1.12e-06
55,1,3.37163210,1.12e-06
56,1,3.40059328,1.16e-06
57,1,3.38696313,1.16e-06
58,1,3.37051272,1.2e-06
59,1,3.47423387,1.2e-06
60,1,3.43961644,1.24e-06
61,1,3.39447498,1.24e-06
62,1,3.37467933,1.28e-06
63,1,3.38942528,1.28e-06
64,1,3.38001442,1.32e-06
65,1,3.44343758,1.32e-06
66,1,3.31811690,1.36e-06
67,1,3.35241890,1.36e-06
68,1,3.34195566,1.4e-06
69,1,3.26695967,1.4e-06
70,1,3.37841463,1.44e-06
71,1,3.27104211,1.44e-06
72,1,3.28617549,1.48e-06
73,1,3.32688427,1.48e-06
74,1,3.31190038,1.52e-06
75,1,3.26939774,1.52e-06
76,1,3.33139658,1.56e-06
77,1,3.25570178,1.56e-06
78,1,3.32393551,1.6e-06
79,1,3.23437166,1.6e-06
80,1,3.30035400,1.64e-06
81,1,3.32022142,1.64e-06
82,1,3.35001040,1.68e-06
83,1,3.22477722,1.68e-06
84,1,3.27131128,1.72e-06
85,1,3.25348711,1.72e-06
86,1,3.27003622,1.76e-06
87,1,3.14347506,1.76e-06
88,1,3.15305805,1.8e-06
89,1,3.16953135,1.8e-06
90,1,3.16940355,1.84e-06
91,1,3.18951321,1.84e-06
92,1,3.14842033,1.88e-06
93,1,3.26015878,1.88e-06
94,1,3.09274888,1.92e-06
95,1,3.18479395,1.92e-06
96,1,3.18013811,1.96e-06
97,1,3.22336388,1.96e-06
98,1,3.14994121,2e-06
99,1,3.09353161,2e-06
100,1,3.18899488,2.04e-06
101,1,3.06400752,2.04e-06
102,1,3.15182066,2.08e-06
103,1,3.06335187,2.08e-06
104,1,3.17267179,2.12e-06
105,1,3.12384391,2.12e-06
106,1,3.14200783,2.16e-06
107,1,3.13300276,2.16e-06
108,1,3.10263515,2.2e-06
109,1,3.03922606,2.2e-06
110,1,3.07370090,2.24e-06
111,1,3.14098215,2.24e-06
112,1,3.08557200,2.28e-06
113,1,3.10540009,2.28e-06
114,1,3.10267711,2.32e-06
115,1,3.07281160,2.32e-06
116,1,3.07823372,2.36e-06
117,1,3.09601045,2.36e-06
118,1,3.08688688,2.4e-06
119,1,3.08254504,2.4e-06
120,1,3.01717401,2.44e-06
121,1,3.05921149,2.44e-06
122,1,2.99129629,2.48e-06
123,1,2.99914241,2.48e-06
124,1,3.01301765,2.52e-06
125,1,3.02699184,2.52e-06
126,1,3.07822013,2.56e-06
127,1,2.98502874,2.56e-06
128,1,2.99928451,2.6e-06
129,1,3.05665541,2.6e-06
130,1,2.99037743,2.64e-06
131,1,2.98272347,2.64e-06
132,1,2.96438837,2.68e-06
133,1,3.01055908,2.68e-06
134,1,2.99786091,2.72e-06
135,1,3.03353190,2.72e-06
136,1,3.00540853,2.76e-06
137,1,2.93825960,2.76e-06
138,1,2.99970722,2.8e-06
139,1,3.02090025,2.8e-06
140,1,2.96858597,2.84e-06
141,1,2.96496844,2.84e-06
142,1,2.95560932,2.88e-06
143,1,2.93239236,2.88e-06
144,1,2.96065140,2.92e-06
145,1,2.89692163,2.92e-06
146,1,2.88709164,2.96e-06
147,1,3.00145769,2.96e-06
148,1,2.90885830,3e-06
149,1,2.98058033,3e-06
150,1,2.91678381,3.04e-06
151,1,2.96688247,3.04e-06
152,1,2.90009165,3.08e-06
153,1,2.90456343,3.08e-06
154,1,2.92069364,3.12e-06
155,1,2.95610619,3.12e-06
156,1,2.95497084,3.16e-06
157,1,2.88362122,3.16e-06
158,1,2.92849851,3.2e-06
159,1,2.86118221,3.2e-06
160,1,2.93669868,3.24e-06
161,1,2.87062550,3.24e-06
162,1,2.89146733,3.28e-06
163,1,2.87502480,3.28e-06
164,1,2.87119246,3.32e-06
165,1,2.86734009,3.32e-06
166,1,2.89290738,3.36e-06
167,1,2.86388254,3.36e-06
168,1,2.87673140,3.4e-06
169,1,2.87264228,3.4e-06
170,1,2.82048130,3.44e-06
171,1,2.80910778,3.44e-06
172,1,2.89944959,3.48e-06
173,1,2.85902023,3.48e-06
174,1,2.83634424,3.52e-06
175,1,2.84605718,3.52e-06
176,1,2.86302567,3.56e-06
177,1,2.79601097,3.56e-06
178,1,2.85368276,3.6e-06
179,1,2.78799820,3.6e-06
180,1,2.80745339,3.64e-06
181,1,2.80666494,3.64e-06
182,1,2.76642060,3.68e-06
183,1,2.79160070,3.68e-06
184,1,2.83863783,3.72e-06
185,1,2.82249832,3.72e-06
186,1,2.78563476,3.76e-06
187,1,2.82290363,3.76e-06
188,1,2.81611276,3.8e-06
189,1,2.80292487,3.8e-06
190,1,2.80710912,3.84e-06
191,1,2.84204912,3.84e-06
192,1,2.79545856,3.88e-06
193,1,2.76786423,3.88e-06
194,1,2.83585334,3.92e-06
195,1,2.75981975,3.92e-06
196,1,2.78130889,3.96e-06
197,1,2.76737332,3.96e-06
198,1,2.71042633,4e-06
199,1,2.78235984,4e-06
200,1,2.76738787,4.04e-06
201,1,2.78376698,4.04e-06
202,1,2.81466579,4.08e-06
203,1,2.80979705,4.08e-06
204,1,2.75752974,4.12e-06
205,1,2.79438877,4.12e-06
206,1,2.73064899,4.16e-06
207,1,2.71510029,4.16e-06
208,1,2.77421761,4.2e-06
209,1,2.77220869,4.2e-06
