step,epoch,loss,lr
1,1,2.37336421,3e-08
2,1,2.47432327,6e-08
3,1,2.37952709,6e-08
4,1,2.38617611,9e-08
5,1,2.40023136,9e-08
6,1,2.36299849,1.2e-07
7,1,2.47099829,1.2e-07
8,1,2.34287548,1.5e-07
9,1,2.38421011,1.5e-07
10,1,2.45063353,1.8e-07
11,1,2.50758314,1.8e-07
12,1,2.46133232,2.1e-07
13,1,2.42494345,2.1e-07
14,1,2.39293194,2.4e-07
15,1,2.40638447,2.4e-07
16,1,2.41443872,2.7e-07
17,1,2.39485168,2.7e-07
18,1,2.41105819,3e-07
19,1,2.39430761,3e-07
20,1,2.41576195,3.3e-07
21,1,2.40182233,3.3e-07
22,1,2.42110538,3.6e-07
23,1,2.44582582,3.6e-07
24,1,2.32799411,3.9e-07
25,1,2.41140270,3.9e-07
26,1,2.38472319,4.2e-07
27,1,2.40431952,4.2e-07
28,1,2.43484616,4.5e-07
29,1,2.38074446,4.5e-07
30,1,2.47218013,4.8e-07
31,1,2.27939415,4.8e-07
32,1,2.36637497,5.1e-07
33,1,2.46619225,5.1e-07
34,1,2.35727835,5.4e-07
35,1,2.37477875,5.4e-07
36,1,2.37668371,5.7e-07
37,1,2.31913185,5.7e-07
38,1,2.30821657,6e-07
39,1,2.34145832,6e-07
40,1,2.41143608,6.3e-07
41,1,2.30010986,6.3e-07
42,1,2.37364483,6.6e-07
43,1,2.39938617,6.6e-07
44,1,2.36448956,6.9e-07
45,1,2.36025572,6.9e-07
46,1,2.34865761,7.2e-07
47,1,2.28602719,7.2e-07
48,1,2.29871035,7.5e-07
49,1,2.27539611,7.5e-07
50,1,2.28218699,7.8e-07
51,1,2.33130836,7.8e-07
52,1,2.32544780,8.1e-07
53,1,2.30762672,8.1e-07
54,1,2.36365652,8.4e-07
55,1,2.27482390,8.4e-07
56,1,2.33701277,8.7e-07
57,1,2.28057790,8.7e-07
58,1,2.34429622,9e-07
59,1,2.39054060,9e-07
60,1,2.29961634,9.3e-07
61,1,2.29045653,9.3e-07
62,1,2.32655811,9.6e-07
63,1,2.28328061,9.6e-07
64,1,2.25277138,9.9e-07
65,1,2.22031021,9.9e-07
66,1,2.20684218,1.02e-06
67,1,2.27819204,1.02e-06
68,1,2.25394487,1.05e-06
69,1,2.21059132,1.05e-06
70,1,2.24905014,1.08e-06
71,1,2.18514347,1.08e-06
72,1,2.14277363,1.11e-06
73,1,2.26066780,1.11e-06
74,1,2.23821592,1.14e-06
75,1,2.22632408,1.14e-06
76,1,2.25349236,1.17e-06
77,1,2.18693709,1.17e-06
78,1,2.18961740,1.2e-06
79,1,2.18295670,1.2e-06
80,1,2.21578789,1.23e-06
81,1,2.17520881,1.23e-06
82,1,2.22608280,1.26e-06
83,1,2.10151052,1.26e-06
84,1,2.18806458,1.29e-06
85,1,2.15860581,1.29e-06
86,1,2.15721416,1.32e-06
87,1,2.12799644,1.32e-06
88,1,2.11434555,1.35e-06
89,1,2.09904003,1.35e-06
90,1,2.16253948,1.38e-06
91,1,2.15327168,1.38e-06
92,1,2.15321708,1.41e-06
93,1,2.15498114,1.41e-06
94,1,2.10230422,1.44e-06
95,1,2.10080647,1.44e-06
96,1,2.09936595,1.47e-06
97,1,2.14128399,1.47e-06
98,1,2.07971311,1.5e-06
99,1,2.10347414,1.5e-06
100,1,2.08467245,1.53e-06
101,1,2.04107547,1.53e-06
102,1,2.07884645,1.56e-06
103,1,2.07872868,1.56e-06
104,1,2.10258150,1.59e-06
105,1,2.08588076,1.59e-06
106,1,2.08587122,1.62e-06
107,1,2.09800863,1.62e-06
108,1,2.08728361,1.65e-06
109,1,2.02156091,1.65e-06
110,1,2.02003479,1.68e-06
111,1,2.10758972,1.68e-06
112,1,2.07372642,1.71e-06
113,1,2.04005408,1.71e-06
114,1,2.07978129,1.74e-06
115,1,2.09856582,1.74e-06
116,1,2.06395054,1.77e-06
117,1,2.06310129,1.77e-06
118,1,2.02112865,1.8e-06
119,1,2.00561118,1.8e-06
120,1,2.00736284,1.83e-06
121,1,2.06810760,1.83e-06
122,1,1.97595215,1.86e-06
123,1,2.00635433,1.86e-06
124,1,2.02134609,1.89e-06
125,1,2.04614305,1.89e-06
126,1,2.05206490,1.92e-06
127,1,1.97931838,1.92e-06
128,1,2.00234771,1.95e-06
129,1,2.02032018,1.95e-06
130,1,1.98895669,1.98e-06
131,1,2.00891829,1.98e-06
132,1,1.99220204,2.01e-06
133,1,2.04415274,2.01e-06
134,1,1.99873960,2.04e-06
135,1,1.99845147,2.04e-06
136,1,1.97824335,2.07e-06
137,1,1.91585958,2.07e-06
138,1,1.98559177,2.1e-06
139,1,1.99581456,2.1e-06
140,1,1.95192325,2.13e-06
141,1,1.96175265,2.13e-06
142,1,1.95771480,2.16e-06
143,1,1.95813417,2.16e-06
144,1,1.96550465,2.19e-06
145,1,1.92603946,2.19e-06
146,1,1.90530097,2.22e-06
147,1,1.98198879,2.22e-06
