step,epoch,loss,lr
1,1,1.13185155,1e-07
2,1,1.21875167,1e-07
3,1,1.22745728,2e-07
4,1,1.15287566,2e-07
5,1,1.20928657,2e-07
6,1,1.17207682,3e-07
7,1,1.25729311,3e-07
8,1,1.21816862,3e-07
9,1,1.18106508,4e-07
10,1,1.25535822,4e-07
11,1,1.10821009,4e-07
12,1,1.12917328,5e-07
13,1,1.14916611,5e-07
14,1,1.25476217,5e-07
15,1,1.24139678,6e-07
16,1,1.27396667,6e-07
17,1,1.21095133,6e-07
18,1,1.15020740,7e-07
19,1,1.16297662,7e-07
20,1,1.29987144,7e-07
21,1,1.13957524,8e-07
22,1,1.20746541,8e-07
23,1,1.20932567,8e-07
24,1,1.21385658,9e-07
25,1,1.14463508,9e-07
26,1,1.27229846,9e-07
27,1,1.21049476,1e-06
28,1,1.17488050,1e-06
29,1,1.13583493,1e-06
30,1,1.25560474,1.1e-06
31,1,1.19015312,1.1e-06
32,1,1.21908522,1.1e-06
33,1,1.18943870,1.2e-06
34,1,1.09969115,1.2e-06
35,1,1.18563890,1.2e-06
36,1,1.17100334,1.3e-06
37,1,1.16885316,1.3e-06
38,1,1.16582584,1.3e-06
39,1,1.24258554,1.4e-06
40,1,1.14725041,1.4e-06
41,1,1.11982286,1.4e-06
42,1,1.22828388,1.5e-06
43,1,1.17192423,1.5e-06
44,1,1.19281709,1.5e-06
45,1,1.20341396,1.6e-06
46,1,1.14467323,1.6e-06
47,1,1.17089057,1.6e-06
48,1,1.19937754,1.7e-06
49,1,1.20589292,1.7e-06
50,1,1.11896372,1.7e-06
51,1,1.10983157,1.8e-06
52,1,1.23715448,1.8e-06
53,1,1.18863511,1.8e-06
54,1,1.10927892,1.9e-06
55,1,1.17268181,1.9e-06
56,1,1.12469792,1.9e-06
57,1,1.10434830,2e-06
58,1,1.15514874,2e-06
59,1,1.13847148,2e-06
60,1,1.07924533,2.1e-06
61,1,1.11977017,2.1e-06
62,1,1.20681226,2.1e-06
63,1,1.09517312,2.2e-06
64,1,1.07959652,2.2e-06
65,1,1.14065456,2.2e-06
66,1,1.16727281,2.3e-06
67,1,1.18140316,2.3e-06
68,1,1.14430785,2.3e-06
69,1,1.07819653,2.4e-06
70,1,1.18344390,2.4e-06
71,1,1.16979408,2.4e-06
72,1,1.05403578,2.5e-06
73,1,1.07604146,2.5e-06
74,1,1.06700552,2.5e-06
75,1,1.13310564,2.6e-06
76,1,1.06115711,2.6e-06
77,1,1.12733579,2.6e-06
78,1,1.14763367,2.7e-06
79,1,1.03845179,2.7e-06
80,1,1.16740274,2.7e-06
81,1,1.11188030,2.8e-06
82,1,1.11126029,2.8e-06
83,1,1.07587957,2.8e-06
84,1,1.09652269,2.9e-06
85,1,1.12976694,2.9e-06
86,1,1.02161539,2.9e-06
87,1,1.08541751,3e-06
88,1,0.99113792,3e-06
89,1,1.07651842,3e-06
90,1,1.11067176,3.1e-06
91,1,1.15433741,3.1e-06
92,1,1.03070593,3.1e-06
93,1,1.05847907,3.2e-06
94,1,1.04870844,3.2e-06
95,1,1.09506941,3.2e-06
96,1,0.99560916,3.3e-06
97,1,1.01127350,3.3e-06
98,1,0.98009109,3.3e-06
99,1,1.05100513,3.4e-06
100,1,1.12242067,3.4e-06
101,1,1.04099071,3.4e-06
102,1,1.07923663,3.5e-06
103,1,1.00564265,3.5e-06
104,1,1.05751181,3.5e-06
105,1,0.98083895,3.6e-06
106,1,1.04060698,3.6e-06
107,1,1.04423630,3.6e-06
108,1,0.97868407,3.7e-06
109,1,0.98680180,3.7e-06
110,1,1.03212631,3.7e-06
111,1,1.03754044,3.8e-06
112,1,0.97441196,3.8e-06
113,1,0.96269596,3.8e-06
114,1,0.99917316,3.9e-06
115,1,1.02603006,3.9e-06
116,1,0.99604082,3.9e-06
117,1,0.95062774,4e-06
118,1,1.01072204,4e-06
119,1,1.01200724,4e-06
120,1,0.99496639,4.1e-06
121,1,0.96990079,4.1e-06
122,1,0.98895186,4.1e-06
123,1,0.95802653,4.2e-06
124,1,1.01520145,4.2e-06
125,1,0.99931955,4.2e-06
126,1,0.96109378,4.3e-06
127,1,0.94142056,4.3e-06
128,1,0.97286266,4.3e-06
129,1,0.96281457,4.4e-06
130,1,0.92766762,4.4e-06
131,1,0.99234837,4.4e-06
132,1,0.99142456,4.5e-06
133,1,0.96964043,4.5e-06
134,1,1.01142192,4.5e-06
135,1,0.99551886,4.6e-06
136,1,0.94890547,4.6e-06
137,1,0.96143335,4.6e-06
138,1,0.92943209,4.7e-06
139,1,0.93481719,4.7e-06
140,1,0.95658845,4.7e-06
141,1,0.94896549,4.8e-06
142,1,0.93834388,4.8e-06
143,1,0.99370784,4.8e-06
144,1,0.88572478,4.9e-06
145,1,0.99073642,4.9e-06
146,1,0.99908513,4.9e-06
147,1,0.96286964,5e-06
148,1,0.89317751,5e-06
149,1,0.90885913,5e-06
150,1,0.94562328,5.1e-06
151,1,0.91995239,5.1e-06
152,1,0.91467059,5.1e-06
153,1,0.93179500,5.2e-06
154,1,0.96903288,5.2e-06
155,1,1.00927114,5.2e-06
156,1,0.90597749,5.3e-06
157,1,0.94821918,5.3e-06
158,1,0.92302215,5.3e-06
159,1,0.92003983,5.4e-06
160,1,0.88974923,5.4e-06
161,1,0.90929043,5.4e-06
162,1,0.91877162,5.5e-06
163,1,0.99401683,5.5e-06
164,1,0.93893450,5.5e-06
165,1,1.02585793,5.6e-06
166,1,0.88110894,5.6e-06
167,1,0.85258055,5.6e-06
168,1,0.94789159,5.7e-06
169,1,0.93134034,5.7e-06
170,1,0.88835019,5.7e-06
171,1,0.88289344,5.8e-06
172,1,0.92829084,5.8e-06
173,1,0.96469611,5.8e-06
174,1,0.87458527,5.9e-06
175,1,0.96390724,5.9e-06
176,1,0.95638841,5.9e-06
177,1,0.93931103,6e-06
178,1,0.93014240,6e-06
179,1,0.91620576,6e-06
180,1,0.89599389,6.1e-06
181,1,0.91364014,6.1e-06
182,1,0.90680921,6.1e-06
183,1,0.85805142,6.2e-06
184,1,0.89394176,6.2e-06
185,1,0.90343308,6.2e-06
